N;K;count_it;start;end;result;mod
32768;10;8;642833936170593;642833937289042;3.41;reverse
32768;10;9;642833937403558;642833938521891;3.41;reverse
32768;10;0;642833939395938;642833941727370;7.11;random
32768;10;1;642833941963340;642833944287389;7.09;random
32768;10;2;642833944522069;642833946848102;7.10;random
32768;10;3;642833947083975;642833949407292;7.09;random
32768;10;4;642833949642592;642833951962509;7.08;random
32768;10;5;642833952197226;642833954523885;7.10;random
32768;10;6;642833954758919;642833957079305;7.08;random
32768;10;7;642833957319757;642833959664802;7.16;random
32768;10;8;642833959900015;642833962220671;7.08;random
32768;10;9;642833962455943;642833964773745;7.07;random
65536;10;0;642833965097299;642833967347689;3.43;forward
65536;10;1;642833967575095;642833969814374;3.42;forward
65536;10;2;642833970041108;642833972335340;3.50;forward
65536;10;3;642833972562265;642833974799189;3.41;forward
65536;10;4;642833975025312;642833977262116;3.41;forward
65536;10;5;642833977488601;642833979725470;3.41;forward
65536;10;6;642833979951392;642833982191665;3.42;forward
65536;10;7;642833982432180;642833984689236;3.44;forward
65536;10;8;642833984915933;642833987154424;3.42;forward
65536;10;9;642833987381083;642833989617863;3.41;forward
65536;10;0;642833989865736;642833992102408;3.41;reverse
65536;10;1;642833992328584;642833994564992;3.41;reverse
65536;10;2;642833994791371;642833997028354;3.41;reverse
65536;10;3;642833997254526;642833999491141;3.41;reverse
65536;10;4;642833999717357;642834001954235;3.41;reverse
65536;10;5;642834002180455;642834004417014;3.41;reverse
65536;10;6;642834004643196;642834006890432;3.43;reverse
65536;10;7;642834007117774;642834009374369;3.44;reverse
65536;10;8;642834009603400;642834011919655;3.53;reverse
65536;10;9;642834012146237;642834014383078;3.41;reverse
65536;10;0;642834016215854;642834021582486;8.19;random
65536;10;1;642834022169525;642834027478827;8.10;random
65536;10;2;642834028089494;642834033411019;8.12;random
65536;10;3;642834034037136;642834039338256;8.09;random
65536;10;4;642834039954829;642834045422851;8.34;random
65536;10;5;642834045993433;642834051327418;8.14;random
65536;10;6;642834051861387;642834057168761;8.10;random
65536;10;7;642834057810080;642834063115235;8.10;random
65536;10;8;642834063747306;642834069056784;8.10;random
65536;10;9;642834069592426;642834074897274;8.09;random
131072;10;0;642834075627658;642834080100893;3.41;forward
131072;10;1;642834080552584;642834085049699;3.43;forward
131072;10;2;642834085500246;642834089987093;3.42;forward
131072;10;3;642834090465019;642834094971203;3.44;forward
131072;10;4;642834095421627;642834099899970;3.42;forward
131072;10;5;642834100350682;642834104826790;3.41;forward
131072;10;6;642834105277798;642834109774809;3.43;forward
131072;10;7;642834110224621;642834114700351;3.41;forward
131072;10;8;642834115151156;642834119626199;3.41;forward
131072;10;9;642834120093031;642834124570692;3.42;forward
131072;10;0;642834125065336;642834129551187;3.42;reverse
131072;10;1;642834130001694;642834134524855;3.45;reverse
131072;10;2;642834134974736;642834139447549;3.41;reverse
131072;10;3;642834139897361;642834144372773;3.41;reverse
131072;10;4;642834144823307;642834149298530;3.41;reverse
131072;10;5;642834149749413;642834154405219;3.55;reverse
131072;10;6;642834154903598;642834159475757;3.49;reverse
131072;10;7;642834159927956;642834164400551;3.41;reverse
131072;10;8;642834164850536;642834169337845;3.42;reverse
131072;10;9;642834169788486;642834174306482;3.45;reverse
131072;10;0;642834178048983;642834190746755;9.69;random
131072;10;1;642834192014018;642834204671571;9.66;random
131072;10;2;642834206057934;642834218739921;9.68;random
131072;10;3;642834220124366;642834232816175;9.68;random
131072;10;4;642834234131231;642834246871925;9.72;random
131072;10;5;642834248142779;642834260837411;9.69;random
131072;10;6;642834262209368;642834274974070;9.74;random
131072;10;7;642834276246041;642834289046243;9.77;random
131072;10;8;642834290545450;642834303177531;9.64;random
131072;10;9;642834304555316;642834317239591;9.68;random
262144;10;0;642834318679327;642834327769384;3.47;forward
262144;10;1;642834328674779;642834337674457;3.43;forward
262144;10;2;642834338580151;642834347563135;3.43;forward
262144;10;3;642834348464494;642834357458388;3.43;forward
